"sourceId","sourceType","title","publisher","url","publishedAt","updatedAt","checkedAt","applicableDate","finalOrPreliminary","locator","claimIds","checksum","status"
"STAT-H29-FINAL-XLS","statistics","平成29年労働災害発生状況（確定・分析用Excel）","厚生労働省","https://www.mhlw.go.jp/bunya/roudoukijun/anzeneisei11/rousai-hassei/xls/17-kakutei.xls","","","2026-08-27T00:00:00+09:00","2017-12-31","final","死亡災害・死傷災害（平成29年、業種・事故の型別）の建設業×墜落・転落。対象年2017年、全国、確定、単位: 人、分母: なし（件数）。死亡135人（死亡災害報告）、休業4日以上死傷5,163人（労働者死傷病報告、死亡を含む）。COVID-19罹患災害: 含まない（流行前）","CLM-STAT-004","sha256:40663831c72515c5c22c7ae6a8f411d422bb64c175b75c7c2c2fe7c5424bb7b7","verified"
"STAT-R1-FINAL-XLSX","statistics","平成30年・令和元年労働災害発生状況（確定・分析用Excel）","厚生労働省","https://www.mhlw.go.jp/bunya/roudoukijun/anzeneisei11/rousai-hassei/xls/19-16.xlsx","","","2026-08-27T00:00:00+09:00","2019-12-31","final","平成30年・令和元年の死亡災害／死傷災害（業種・事故の型別）各シートrow 7、建設業×墜落・転落。対象年2018・2019年、全国、確定、単位: 人、分母: なし（件数）。死亡/休業4日以上死傷（死亡を含む）は2018年136/5,154人、2019年110/5,171人。COVID-19罹患災害: 含まない（流行前）","CLM-STAT-004","sha256:19634c970bd76bcb6fd90441ee16625b09a96c46e3e874dff1da2ab07cee1fa3","verified"
"STAT-R3-FINAL-XLSX","statistics","令和2年・令和3年労働災害発生状況（確定・分析用Excel）","厚生労働省","https://www.mhlw.go.jp/bunya/roudoukijun/anzeneisei11/rousai-hassei/xls/21-16.xlsx","","","2026-08-27T00:00:00+09:00","2021-12-31","final","令和2・3年の死亡災害／死傷災害（業種・事故の型別）各シートrow 7、建設業×墜落・転落。対象年2020・2021年、全国、確定、単位: 人、分母: なし（件数）。死亡/休業4日以上死傷（死亡を含む）は2020年95/4,756人、2021年110/4,869人。COVID-19罹患災害: 含まない（事故の型「墜落・転落」値）","CLM-STAT-004","sha256:8ddd49dbb09ba3ab72d534e4ed4393c863f2e6b9ee889a1296b3280acb123f7b","verified"
"STAT-R4-FINAL-XLSX","statistics","令和4年労働災害発生状況（確定・分析用Excel）","厚生労働省","https://www.mhlw.go.jp/bunya/roudoukijun/anzeneisei11/rousai-hassei/xls/22-16.xlsx","","","2026-08-27T00:00:00+09:00","2022-12-31","final","令和4年の死亡災害／死傷災害（業種・事故の型別）各シートrow 7、建設業×墜落・転落。対象年2022年、全国、確定、単位: 人、分母: なし（件数）。死亡116人（死亡災害報告）、休業4日以上死傷4,594人（労働者死傷病報告、死亡を含む）。COVID-19罹患災害: 含まない（事故の型「墜落・転落」値）","CLM-STAT-004","sha256:833430f3526263805104b8fdbe00cc3bd6bdfd317d99ed497b2e3268b584e64b","verified"
"STAT-R6-FINAL-XLSX","statistics","令和5年・令和6年労働災害発生状況（確定・分析用Excel）","厚生労働省","https://www.mhlw.go.jp/bunya/roudoukijun/anzeneisei11/rousai-hassei/xls/24-16.xlsx","","","2026-08-27T00:00:00+09:00","2024-12-31","final","令和5・6年の死亡災害／死傷災害（業種・事故の型別）各シートrow 7、建設業×墜落・転落。対象年2023・2024年、全国、確定、単位: 人、分母: なし（件数）。死亡/休業4日以上死傷（死亡を含む）は2023年86/4,554人、2024年77/4,351人。COVID-19罹患災害: 含まない（事故の型「墜落・転落」値）","CLM-STAT-004","sha256:c48f59787f011936ae3e6ecd1365d3690bd25079a98ea8e7b9d8c3ad18a7e5b1","verified"
"STAT-R7-FINAL-PDF","statistics","令和7年における労働災害発生状況（確定値）","厚生労働省 労働基準局安全衛生部安全課","https://www.mhlw.go.jp/content/11302000/001704887.pdf","2026-05-27","","2026-08-27T00:00:00+09:00","2025-12-31","final","別表1〜4。対象年2025年、全国、確定、単位: 人、分母: なし（件数）、2026年4月7日までの報告。死亡は死亡災害報告、休業4日以上死傷は労働者死傷病報告（死亡を含む）。COVID-19罹患災害を除外","CLM-STAT-001|CLM-STAT-002|CLM-STAT-003|CLM-STAT-004|CLM-STAT-007|CLM-STAT-009","sha256:a52483190d00147115f88db817534511d2e7c8410066159dbc864ace13de7fd4","verified"
"STAT-R7-FINAL-XLSX","statistics","令和7年労働災害発生状況（確定・分析用Excel）","厚生労働省","https://www.mhlw.go.jp/bunya/roudoukijun/anzeneisei11/rousai-hassei/xls/25-16.xlsx","2026-05-27","","2026-08-27T00:00:00+09:00","2025-12-31","final","令和7年の死亡災害／死傷災害（業種・事故の型別）各シートrow 8、建設業×墜落・転落。対象年2025年、全国、確定、単位: 人、分母: なし（件数）。死亡91人（死亡災害報告）、休業4日以上死傷4,343人（労働者死傷病報告、死亡を含む）。COVID-19罹患災害を除外","CLM-STAT-001|CLM-STAT-002|CLM-STAT-003|CLM-STAT-004|CLM-STAT-005|CLM-STAT-007","sha256:8fff153ec868f3e41030d797997ce24cc71b392e9df57984f42d8bd77aa3930d","verified"
"STAT-R7-INJURY-ANALYSIS","statistics","令和7年死傷災害統計確定値（分析用）","厚生労働省・職場のあんぜんサイト","https://anzeninfo.mhlw.go.jp/user/anzen/tok/r7_16_sisyou_bunseki.xlsx","2026-05-27","","2026-08-27T00:00:00+09:00","2025-12-31","final","②業種・事故型、⑦事故型・起因物。対象年2025年、全国、確定、単位: 人、休業4日以上死傷（死亡を含む）、分母: なし（件数）。COVID-19罹患災害を除外","CLM-STAT-003|CLM-STAT-005|CLM-STAT-006|CLM-STAT-007","sha256:58f39a978d01cc8210d7355ecf66c4dd515103347e518da2edd4077502331767","verified"
"STAT-R8-JULY-PRELIM","statistics","令和8年における労働災害発生状況（7月速報）","厚生労働省 労働基準局安全衛生部安全課","https://www.mhlw.go.jp/bunya/roudoukijun/anzeneisei11/rousai-hassei/dl/26-07.pdf","2026-08-03","","2026-08-27T00:00:00+09:00","2026-06-30","preliminary","2026年1〜6月発生・7月7日までの報告。死亡・死傷の業種別、事故の型別","CLM-STAT-008","sha256:0737bcc500ed0d0b05c579f0c623329604dd4b47ea0aafe99fa4b36040f7edc4","verified"
"GOV-US-OSHA-FALL","government-guidance","OSHA Technical Manual, Section V Chapter 4: Fall Protection in Construction","U.S. Occupational Safety and Health Administration","https://www.osha.gov/otm/section-5-construction-operations/chapter-4","","","2026-08-27T00:00:00+09:00","2026-08-27","final","Fall clearance、anchor location、rescue planning sections","SCI-FALL-002|SCI-FALL-003|SCI-RESCUE-001","sha256:107660d4c44999bd684fab20ae9315cd998e9f81a61da806ca58ad0860ad8730","verified-supporting-technical-source"
"SCI-SUSP-REVIEW-2023","scientific","Suspension syndrome: a scoping review and recommendations from ICAR MEDCOM","Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine / PubMed Central","https://pmc.ncbi.nlm.nih.gov/articles/PMC10710713/","2023-12-09","","2026-08-27T00:00:00+09:00","2026-08-27","peer-reviewed","PMC full text: Abstract、Results、Recommendations 1〜7（2026-08-27取得HTMLをSHA-256検証）","SCI-SUSP-001|SCI-SUSP-002|SCI-RESCUE-001","sha256:eb956479c4e841e911eefa7d589fee729d1d6b43ce12902f0bbf77d0b9fcb165","verified-peer-reviewed"
"GOV-UK-HSE-HUMAN","government-guidance","Managing human failures: Overview","UK Health and Safety Executive","https://www.hse.gov.uk/humanfactors/topics/humanfail.htm","","","2026-08-27T00:00:00+09:00","2026-08-27","final","Overview、Types of human failure、Managing failures","SCI-HF-001|SCI-HF-002","sha256:0ed8fa1fe40d2d681e46807bff00201ef3059f72009975b38227d0920eed8a5a","verified-supporting-technical-source"
"SCI-COCHRANE-2018","scientific","Interventions to prevent injuries in construction workers","Cochrane Database of Systematic Reviews / PubMed Central","https://pmc.ncbi.nlm.nih.gov/articles/PMC6491133/","2018-02-05","","2026-08-27T00:00:00+09:00","2018-02-05","peer-reviewed","PMC full text: Abstract、Authors' conclusions（2026-08-27取得HTMLをSHA-256検証）","SCI-HF-003","sha256:600381ef35fc01dc8b7c23ed92cf933760d5463ee0dbe099c6100ec2acffe46a","verified-peer-reviewed"
