id,slug,titleJa,signPurpose,marketCategory,signFormat,recommendedSize,orientation,commonWording,multilingualPriority,editableNumber,vendorCount,evidenceUrls,constructionRelevance,priority,originalityPlan,generationStatus,qaStatus,publishStatus
"S011","ppe-required","保護具着用","指示","protective-equipment","平板標識","450×600mm","portrait","指定の保護具を着用","high","false","1","https://www.monotaro.com/p/8971/4597/","現場入口・作業区画で必要な保護具を明示","medium","市場商品の図版・配置を複製せず、「保護具着用」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S012","complete-ppe-required","保護具完全着用","指示","protective-equipment","平板標識","450×600mm","portrait","保護具を完全着用","high","false","2","https://jgc-inc.co.jp/products/detail/6512/;https://ec.midori-anzen.com/shop/g/g4066100010/","現場入口・作業区画で必要な保護具を明示","medium","市場商品の図版・配置を複製せず、「保護具完全着用」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S013","protective-clothing-required","防護服着用","指示","protective-equipment","平板標識","450×600mm","portrait","防護服を着用","high","false","1","https://www.monotaro.com/p/8154/6176/","現場入口・作業区画で必要な保護具を明示","medium","市場商品の図版・配置を複製せず、「防護服着用」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S014","life-jacket-required","救命胴衣着用","指示","protective-equipment","平板標識","450×600mm","portrait","救命胴衣を着用","high","false","1","https://jgc-inc.co.jp/products/cassette/3379/","現場入口・作業区画で必要な保護具を明示","medium","市場商品の図版・配置を複製せず、「救命胴衣着用」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S015","mask-required","マスク着用","指示","protective-equipment","平板標識","450×600mm","portrait","マスクを着用","high","false","1","https://www.monotaro.com/p/8154/5984/","現場入口・作業区画で必要な保護具を明示","medium","市場商品の図版・配置を複製せず、「マスク着用」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S016","no-entry","立入禁止","禁止","entry-prohibition","平板標識","600×450mm","landscape","立入禁止","high","false","2","https://www.monotaro.com/p/8971/4493/;https://ec.midori-anzen.com/shop/g/g4066100001/","立入・操作・火気等の禁止区画を明示","high","市場商品の図版・配置を複製せず、「立入禁止」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S017","authorized-personnel-only","関係者以外立入禁止","禁止","entry-prohibition","平板標識","600×450mm","landscape","関係者以外立入禁止","high","false","2","https://jgc-inc.co.jp/products/cassette/296/;https://www.monotaro.com/p/8971/4502/","立入・操作・火気等の禁止区画を明示","high","市場商品の図版・配置を複製せず、「関係者以外立入禁止」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S018","no-access","進入禁止","禁止","entry-prohibition","平板標識","600×450mm","landscape","進入禁止","high","false","2","https://www.monotaro.com/p/3710/8215/;https://ec.midori-anzen.com/shop/g/g4066100017/","立入・操作・火気等の禁止区画を明示","medium","市場商品の図版・配置を複製せず、「進入禁止」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S019","no-vehicle-entry","車両進入禁止","禁止","entry-prohibition","平板標識","600×450mm","landscape","車両進入禁止","high","false","2","https://jgc-inc.co.jp/products/cassette/827/;https://www.monotaro.com/p/8961/7166/","立入・操作・火気等の禁止区画を明示","high","市場商品の図版・配置を複製せず、「車両進入禁止」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S020","operation-prohibited","運転禁止","禁止","entry-prohibition","平板標識","600×450mm","landscape","運転禁止","high","false","2","https://jgc-inc.co.jp/products/detail/1408/;https://www.monotaro.com/g/00070405/","立入・操作・火気等の禁止区画を明示","medium","市場商品の図版・配置を複製せず、「運転禁止」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S021","no-smoking","禁煙","禁止","entry-prohibition","平板標識","600×450mm","landscape","禁煙","high","false","2","https://jgc-inc.co.jp/products/detail/525/;https://www.monotaro.com/g/04051334/","立入・操作・火気等の禁止区画を明示","medium","市場商品の図版・配置を複製せず、「禁煙」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S022","no-open-flames","火気厳禁","禁止","entry-prohibition","平板標識","600×450mm","landscape","火気厳禁","high","false","3","https://jgc-inc.co.jp/products/detail/522/;https://www.monotaro.com/g/01015282/;https://shimojima.jp/shop/g/g2500200493827/","立入・操作・火気等の禁止区画を明示","high","市場商品の図版・配置を複製せず、「火気厳禁」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S023","do-not-use","使用禁止","禁止","entry-prohibition","平板標識","600×450mm","landscape","使用禁止","high","false","2","https://jgc-inc.co.jp/products/detail/1414/;https://www.monotaro.com/g/04051316/","立入・操作・火気等の禁止区画を明示","medium","市場商品の図版・配置を複製せず、「使用禁止」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S024","do-not-operate","操作禁止","禁止","entry-prohibition","平板標識","600×450mm","landscape","操作禁止","high","false","2","https://jgc-inc.co.jp/products/detail/1406/;https://www.monotaro.com/p/5063/5175/","立入・操作・火気等の禁止区画を明示","medium","市場商品の図版・配置を複製せず、「操作禁止」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S025","do-not-touch","さわるな","禁止","entry-prohibition","平板標識","600×450mm","landscape","さわるな","high","false","2","https://jgc-inc.co.jp/products/detail/1398/;https://www.monotaro.com/g/00070402/","立入・操作・火気等の禁止区画を明示","medium","市場商品の図版・配置を複製せず、「さわるな」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S026","no-climbing","昇降禁止","禁止","entry-prohibition","平板標識","600×450mm","landscape","昇降禁止","high","false","2","https://jgc-inc.co.jp/products/cassette/12/;https://www.monotaro.com/p/2260/2256/","立入・操作・火気等の禁止区画を明示","medium","市場商品の図版・配置を複製せず、「昇降禁止」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S027","do-not-open-close","開閉禁止","禁止","entry-prohibition","平板標識","600×450mm","landscape","開閉禁止","high","false","1","https://jgc-inc.co.jp/products/detail/1266/","立入・操作・火気等の禁止区画を明示","medium","市場商品の図版・配置を複製せず、「開閉禁止」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S028","no-mobile-phone","携帯電話使用禁止","禁止","entry-prohibition","平板標識","600×450mm","landscape","携帯電話使用禁止","high","false","1","https://jgc-inc.co.jp/products/detail/388/","立入・操作・火気等の禁止区画を明示","medium","市場商品の図版・配置を複製せず、「携帯電話使用禁止」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S029","no-parking","駐車禁止","禁止","entry-prohibition","平板標識","600×450mm","landscape","駐車禁止","high","false","3","https://jgc-inc.co.jp/products/cassette/844/;https://www.monotaro.com/p/3710/8294/;https://ec.midori-anzen.com/shop/g/g4066100015/","立入・操作・火気等の禁止区画を明示","medium","市場商品の図版・配置を複製せず、「駐車禁止」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S030","no-passage","通行禁止","禁止","entry-prohibition","平板標識","600×450mm","landscape","通行禁止","high","false","2","https://jgc-inc.co.jp/products/detail/6506/;https://www.monotaro.com/p/2260/2265/","立入・操作・火気等の禁止区画を明示","medium","市場商品の図版・配置を複製せず、「通行禁止」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S031","fall-hazard","墜落注意","警告","hazard-warning","マンガ標識","600×450mm","landscape","墜落注意","high","false","2","https://jgc-inc.co.jp/products/detail/189/;https://www.monotaro.com/g/05951195/","作業区域の主要危険を短時間で注意喚起","high","市場商品の図版・配置を複製せず、「墜落注意」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S032","floor-opening-hazard","開口部注意","警告","hazard-warning","マンガ標識","600×450mm","landscape","開口部注意","high","false","3","https://jgc-inc.co.jp/products/detail/6508/;https://www.monotaro.com/p/2033/7327/;https://ec.midori-anzen.com/shop/g/g4066100006/","作業区域の主要危険を短時間で注意喚起","high","市場商品の図版・配置を複製せず、「開口部注意」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S033","falling-objects-hazard","落下物注意","警告","hazard-warning","マンガ標識","600×450mm","landscape","落下物注意","high","false","2","https://jgc-inc.co.jp/products/detail/433/;https://www.monotaro.com/g/01383157/","作業区域の主要危険を短時間で注意喚起","high","市場商品の図版・配置を複製せず、「落下物注意」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S034","overhead-hazard","頭上注意","警告","hazard-warning","マンガ標識","600×450mm","landscape","頭上注意","high","false","4","https://jgc-inc.co.jp/products/detail/1752/;https://www.monotaro.com/p/8971/4511/;https://www.unit-signs.co.jp/products/illust/s8.php;https://ec.midori-anzen.com/shop/g/g4066100003/","作業区域の主要危険を短時間で注意喚起","high","市場商品の図版・配置を複製せず、「頭上注意」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S035","watch-your-step","足元注意","警告","hazard-warning","マンガ標識","600×450mm","landscape","足元注意","high","false","3","https://jgc-inc.co.jp/products/cassette/258/;https://www.monotaro.com/p/8971/4527/;https://ec.midori-anzen.com/shop/g/g4066100004/","作業区域の主要危険を短時間で注意喚起","high","市場商品の図版・配置を複製せず、「足元注意」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S036","slippery-surface","すべり注意","警告","hazard-warning","マンガ標識","600×450mm","landscape","すべり注意","high","false","2","https://jgc-inc.co.jp/products/cassette/1327/;https://www.monotaro.com/g/04103770/","作業区域の主要危険を短時間で注意喚起","medium","市場商品の図版・配置を複製せず、「すべり注意」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S037","trip-fall-hazard","転倒注意","警告","hazard-warning","マンガ標識","600×450mm","landscape","転倒注意","high","false","2","https://jgc-inc.co.jp/products/detail/468/;https://www.monotaro.com/p/2664/2315/","作業区域の主要危険を短時間で注意喚起","medium","市場商品の図版・配置を複製せず、「転倒注意」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S038","level-change-hazard","段差注意","警告","hazard-warning","マンガ標識","600×450mm","landscape","段差注意","high","false","2","https://jgc-inc.co.jp/products/detail/2532/;https://www.monotaro.com/g/02625673/","作業区域の主要危険を短時間で注意喚起","medium","市場商品の図版・配置を複製せず、「段差注意」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S039","cutting-hazard","切断注意","警告","hazard-warning","マンガ標識","600×450mm","landscape","切断注意","high","false","2","https://jgc-inc.co.jp/products/cassette/272/;https://www.monotaro.com/p/8971/4536/","作業区域の主要危険を短時間で注意喚起","medium","市場商品の図版・配置を複製せず、「切断注意」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S040","collision-hazard","衝突注意","警告","hazard-warning","マンガ標識","600×450mm","landscape","衝突注意","high","false","1","https://www.monotaro.com/g/05285550/","作業区域の主要危険を短時間で注意喚起","medium","市場商品の図版・配置を複製せず、「衝突注意」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S041","no-under-suspended-load","吊り荷の下に入るな","警告","hazard-warning","マンガ標識","600×450mm","landscape","吊り荷の下に入るな","high","false","1","https://www.monotaro.com/g/00539907/","作業区域の主要危険を短時間で注意喚起","high","市場商品の図版・配置を複製せず、「吊り荷の下に入るな」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S042","equipment-swing-zone","重機作業半径内立入禁止","警告","hazard-warning","マンガ標識","600×450mm","landscape","重機作業半径内 立入禁止","high","false","1","https://www.monotaro.com/p/2015/2134/","作業区域の主要危険を短時間で注意喚起","high","市場商品の図版・配置を複製せず、「重機作業半径内立入禁止」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S043","forklift-hazard","フォークリフト注意","警告","hazard-warning","マンガ標識","600×450mm","landscape","フォークリフトに注意","high","false","3","https://jgc-inc.co.jp/products/cassette/1865/;https://www.monotaro.com/g/05001524/;https://ec.midori-anzen.com/shop/g/g4066100014/","作業区域の主要危険を短時間で注意喚起","high","市場商品の図版・配置を複製せず、「フォークリフト注意」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S044","pinch-point-hazard","はさまれ注意","警告","hazard-warning","マンガ標識","600×450mm","landscape","はさまれ注意","high","false","2","https://jgc-inc.co.jp/products/detail/482/;https://www.monotaro.com/p/2260/2317/","作業区域の主要危険を短時間で注意喚起","high","市場商品の図版・配置を複製せず、「はさまれ注意」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S045","entanglement-hazard","巻き込まれ注意","警告","hazard-warning","マンガ標識","600×450mm","landscape","巻き込まれ注意","high","false","2","https://jgc-inc.co.jp/products/cassette/384/;https://www.monotaro.com/p/8971/4545/","作業区域の主要危険を短時間で注意喚起","high","市場商品の図版・配置を複製せず、「巻き込まれ注意」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S046","electric-shock-hazard","感電注意","警告","hazard-warning","マンガ標識","600×450mm","landscape","感電注意","high","false","2","https://jgc-inc.co.jp/products/cassette/50/;https://www.monotaro.com/p/8971/4554/","作業区域の主要危険を短時間で注意喚起","high","市場商品の図版・配置を複製せず、「感電注意」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S047","high-voltage-hazard","高電圧注意","警告","hazard-warning","マンガ標識","600×450mm","landscape","高電圧注意","high","false","2","https://jgc-inc.co.jp/products/detail/118/;https://www.monotaro.com/p/8971/4475/","作業区域の主要危険を短時間で注意喚起","high","市場商品の図版・配置を複製せず、「高電圧注意」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S048","oxygen-deficiency-hazard","酸欠危険","警告","hazard-warning","マンガ標識","600×450mm","landscape","酸欠危険","high","false","2","https://jgc-inc.co.jp/products/detail/1048/;https://www.monotaro.com/p/2260/2292/","作業区域の主要危険を短時間で注意喚起","high","市場商品の図版・配置を複製せず、「酸欠危険」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S049","laser-radiation-hazard","レーザー光線注意","警告","hazard-warning","マンガ標識","600×450mm","landscape","レーザー光線注意","high","false","2","https://jgc-inc.co.jp/products/cassette/362/;https://www.monotaro.com/p/8991/6723/","作業区域の主要危険を短時間で注意喚起","medium","市場商品の図版・配置を複製せず、「レーザー光線注意」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S050","organic-solvent-in-use","有機溶剤使用中","警告","hazard-warning","マンガ標識","600×450mm","landscape","有機溶剤使用中","high","false","2","https://jgc-inc.co.jp/products/detail/193/;https://www.monotaro.com/p/7664/0236/","作業区域の主要危険を短時間で注意喚起","medium","市場商品の図版・配置を複製せず、「有機溶剤使用中」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S051","asbestos-removal-in-progress","石綿除去作業中","警告","hazard-warning","マンガ標識","600×450mm","landscape","石綿除去作業中","high","false","2","https://jgc-inc.co.jp/products/detail/993/;https://www.monotaro.com/g/00511842/","作業区域の主要危険を短時間で注意喚起","medium","市場商品の図版・配置を複製せず、「石綿除去作業中」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S052","hot-surface-hazard","高温注意","警告","hazard-warning","マンガ標識","600×450mm","landscape","高温注意","high","false","2","https://jgc-inc.co.jp/products/cassette/251/;https://www.monotaro.com/p/8971/4484/","作業区域の主要危険を短時間で注意喚起","medium","市場商品の図版・配置を複製せず、「高温注意」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S053","burn-hazard","火傷注意","警告","hazard-warning","マンガ標識","600×450mm","landscape","火傷注意","high","false","2","https://jgc-inc.co.jp/products/cassette/353/;https://www.monotaro.com/p/5139/9905/","作業区域の主要危険を短時間で注意喚起","medium","市場商品の図版・配置を複製せず、「火傷注意」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S054","high-pressure-gas-hazard","高圧ガス注意","警告","hazard-warning","マンガ標識","600×450mm","landscape","高圧ガス注意","high","false","2","https://jgc-inc.co.jp/products/detail/1228/;https://www.monotaro.com/g/00996670/","作業区域の主要危険を短時間で注意喚起","medium","市場商品の図版・配置を複製せず、「高圧ガス注意」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S055","toxic-substances-hazard","劇物・毒物注意","警告","hazard-warning","マンガ標識","600×450mm","landscape","劇物・毒物注意","high","false","2","https://jgc-inc.co.jp/products/detail/357/;https://www.monotaro.com/p/3987/3384/","作業区域の主要危険を短時間で注意喚起","medium","市場商品の図版・配置を複製せず、「劇物・毒物注意」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S056","construction-in-progress","工事中","状態表示","work-status","マグネット標識","600×450mm","landscape","工事中","medium","false","2","https://jgc-inc.co.jp/products/cassette/1404/;https://www.monotaro.com/g/06076119/","進行中の作業・設備状態を周辺へ明示","high","市場商品の図版・配置を複製せず、「工事中」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S057","work-in-progress","作業中","状態表示","work-status","マグネット標識","600×450mm","landscape","作業中","medium","false","3","https://jgc-inc.co.jp/products/detail/3715/;https://www.monotaro.com/p/3988/9877/;https://ec.midori-anzen.com/shop/g/g4066100012/","進行中の作業・設備状態を周辺へ明示","high","市場商品の図版・配置を複製せず、「作業中」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S058","work-at-height-in-progress","高所作業中","状態表示","work-status","垂れ幕","450×1800mm","portrait","高所作業中","medium","false","2","https://jgc-inc.co.jp/products/cassette/1458/;https://www.monotaro.com/p/0014/6353/","進行中の作業・設備状態を周辺へ明示","high","市場商品の図版・配置を複製せず、「高所作業中」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S059","scaffold-assembly-in-progress","足場組立・解体作業中","状態表示","work-status","垂れ幕","450×1800mm","portrait","足場組立・解体作業中","medium","false","1","https://www.monotaro.com/g/06094994/","進行中の作業・設備状態を周辺へ明示","high","市場商品の図版・配置を複製せず、「足場組立・解体作業中」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S060","hot-work-in-progress","火気使用中","状態表示","work-status","垂れ幕","450×1800mm","portrait","火気使用中","medium","false","2","https://jgc-inc.co.jp/products/detail/2632/;https://www.monotaro.com/p/0014/6378/","進行中の作業・設備状態を周辺へ明示","high","市場商品の図版・配置を複製せず、「火気使用中」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S061","inspection-in-progress","点検中","状態表示","work-status","マグネット標識","600×450mm","landscape","点検中","medium","false","2","https://jgc-inc.co.jp/products/detail/1399/;https://www.monotaro.com/g/00070426/","進行中の作業・設備状態を周辺へ明示","medium","市場商品の図版・配置を複製せず、「点検中」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S062","cleaning-in-progress","清掃中","状態表示","work-status","マグネット標識","600×450mm","landscape","清掃中","medium","false","2","https://jgc-inc.co.jp/products/detail/2518/;https://www.monotaro.com/g/04120150/","進行中の作業・設備状態を周辺へ明示","medium","市場商品の図版・配置を複製せず、「清掃中」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S063","repair-in-progress","修理中","状態表示","work-status","マグネット標識","600×450mm","landscape","修理中","medium","false","2","https://jgc-inc.co.jp/products/detail/1407/;https://www.monotaro.com/g/00996647/","進行中の作業・設備状態を周辺へ明示","medium","市場商品の図版・配置を複製せず、「修理中」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S064","inspected","点検済","状態表示","work-status","マグネット標識","600×450mm","landscape","点検済","medium","false","2","https://jgc-inc.co.jp/products/detail/1385/;https://www.monotaro.com/g/00247862/","進行中の作業・設備状態を周辺へ明示","medium","市場商品の図版・配置を複製せず、「点検済」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S065","out-of-service","故障中","状態表示","work-status","マグネット標識","600×450mm","landscape","故障中","medium","false","2","https://jgc-inc.co.jp/products/detail/1349/;https://www.monotaro.com/g/00063127/","進行中の作業・設備状態を周辺へ明示","medium","市場商品の図版・配置を複製せず、「故障中」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S066","adjustment-in-progress","調整中","状態表示","work-status","マグネット標識","600×450mm","landscape","調整中","medium","false","2","https://jgc-inc.co.jp/products/detail/1259/;https://www.monotaro.com/p/8861/5283/","進行中の作業・設備状態を周辺へ明示","medium","市場商品の図版・配置を複製せず、「調整中」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S067","equipment-operating","運転中","状態表示","work-status","マグネット標識","600×450mm","landscape","運転中","medium","false","1","https://www.monotaro.com/p/3461/1893/","進行中の作業・設備状態を周辺へ明示","medium","市場商品の図版・配置を複製せず、「運転中」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S068","material-storage","資材置場","状態表示","work-status","マグネット標識","600×450mm","landscape","資材置場","medium","false","2","https://jgc-inc.co.jp/products/detail/1563/;https://www.monotaro.com/g/06094968/","進行中の作業・設備状態を周辺へ明示","medium","市場商品の図版・配置を複製せず、「資材置場」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S069","safe-passage","安全通路","状態表示","work-status","マグネット標識","600×450mm","landscape","安全通路","medium","false","3","https://jgc-inc.co.jp/products/detail/331/;https://www.monotaro.com/p/2260/2326/;https://ec.midori-anzen.com/shop/g/g4066100019/","進行中の作業・設備状態を周辺へ明示","high","市場商品の図版・配置を複製せず、「安全通路」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
"S070","housekeeping","整理整頓","状態表示","work-status","マグネット標識","600×450mm","landscape","整理整頓","medium","false","3","https://jgc-inc.co.jp/products/detail/553/;https://www.monotaro.com/p/2260/2344/;https://ec.midori-anzen.com/shop/g/g4066100008/","進行中の作業・設備状態を周辺へ明示","medium","市場商品の図版・配置を複製せず、「整理整頓」の意味を独自の成人作業員・PPE・機器構図で表し、後付け文字帯の余白を分離","generated","pass","published"
