"holdout_version","basis_date_jst","checksum_sha256","case_id","category","turn_count","semantic_result","failure_count","initial_context_mode","classification_eligible","read_only_context_fixture","context_fixture_reason","holdout_frozen_expected_action","evaluation_enforced_expected_action","actual_action","safety_correction_reason","confirmed_choices","expected_voltage","actual_voltage","expected_energized_state","actual_energized_state","required_concepts","concept_checks","required_authorities","authority_checks","answer_first","substantive_answer","pure_clarification","initial_classification","context_retention","quick_replies_relevant","known_conditions_not_reasked","low_voltage_distance_not_misstated","no_invented_action","negative_constraint_retained","unrelated_domain_jump","citation_support","effective_date_current"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-011","broad","1","PASS","0","empty-classifier","true","false","","unknown","unknown","unknown","","","","unknown","","unknown","answer-first|visual-may-not-require-uniform-license|action-determines-requirement|electrician-separate-from-special-education","answer-first=true|visual-may-not-require-uniform-license=true|action-determines-requirement=true|electrician-separate-from-special-education=true","安衛則第36条|電気工事士法第2条|電気工事士法第3条","安衛則第36条=true|電気工事士法第2条=true|電気工事士法第3条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-012","broad","1","PASS","0","empty-classifier","true","false","","high-voltage-facility-inspection","high-voltage-facility-inspection","high-voltage-facility-inspection","","","high","high","","unknown","answer-first|high-voltage-special-education-scope|chief-engineer-is-facility-governance|voltage-and-energized-state-matter","answer-first=true|high-voltage-special-education-scope=true|chief-engineer-is-facility-governance=true|voltage-and-energized-state-matter=true","安衛則第36条|安衛則第341条|安衛則第342条","安衛則第36条=true|安衛則第341条=true|安衛則第342条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-013","action","1","PASS","0","empty-classifier","true","false","","tester-measurement","tester-measurement","tester-measurement","","","","unknown","unknown","unknown","answer-first|measurement-near-live-parts|voltage-and-energized-state-matter","answer-first=true|measurement-near-live-parts=true|voltage-and-energized-state-matter=true","安衛則第36条|安衛則第341条|安衛則第346条","安衛則第36条=true|安衛則第341条=true|安衛則第346条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-014","action","1","PASS","0","empty-classifier","true","false","","wiring-connection","wiring-connection","wiring-connection","","","","unknown","","unknown","answer-first|wiring-may-be-electrical-work|electrician-separate-from-special-education|de-energized-procedure-matters","answer-first=true|wiring-may-be-electrical-work=true|electrician-separate-from-special-education=true|de-energized-procedure-matters=true","電気工事士法第2条|電気工事士法第3条|安衛則第36条|安衛則第339条","電気工事士法第2条=true|電気工事士法第3条=true|安衛則第36条=true|安衛則第339条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-015","action","1","PASS","0","empty-classifier","true","false","","breaker-operation","breaker-operation","breaker-operation","","","","unknown","","unknown","answer-first|breaker-operation-conditions|voltage-and-energized-state-matter","answer-first=true|breaker-operation-conditions=true|voltage-and-energized-state-matter=true","安衛則第36条","安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-016","action","1","PASS","0","empty-classifier","true","false","","live-proximity-work","live-proximity-work","live-proximity-work","","","low","low","proximity","proximity","answer-first|low-voltage-special-education-scope|voltage-and-energized-state-matter","answer-first=true|low-voltage-special-education-scope=true|voltage-and-energized-state-matter=true","安衛則第36条|安衛則第347条","安衛則第36条=true|安衛則第347条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-017","action","1","PASS","0","empty-classifier","true","false","","high-voltage-facility-inspection","high-voltage-facility-inspection","high-voltage-facility-inspection","","","high","high","","unknown","answer-first|high-voltage-special-education-scope|chief-engineer-is-facility-governance","answer-first=true|high-voltage-special-education-scope=true|chief-engineer-is-facility-governance=true","安衛則第36条|安衛則第341条|安衛則第342条","安衛則第36条=true|安衛則第341条=true|安衛則第342条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-018","action","1","PASS","0","empty-classifier","true","false","","wiring-removal","wiring-removal","wiring-removal","","","","unknown","de-energized","de-energized","answer-first|wiring-may-be-electrical-work|electrician-separate-from-special-education|de-energized-procedure-matters","answer-first=true|wiring-may-be-electrical-work=true|electrician-separate-from-special-education=true|de-energized-procedure-matters=true","電気工事士法第2条|電気工事士法第3条|安衛則第339条","電気工事士法第2条=true|電気工事士法第3条=true|安衛則第339条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-019","action","1","PASS","0","empty-classifier","true","false","","indicator-check","indicator-check","indicator-check","","","","unknown","","unknown","answer-first|visual-may-not-require-uniform-license","answer-first=true|visual-may-not-require-uniform-license=true","安衛則第36条","安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-020","action","1","PASS","0","electrical-context-fixture","false","true","異音・異臭だけでは対象設備を特定できない","noise-odor-check","noise-odor-check","noise-odor-check","","","","unknown","","unknown","answer-first|visual-may-not-require-uniform-license","answer-first=true|visual-may-not-require-uniform-license=true","安衛則第36条","安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-021","action","1","PASS","0","empty-classifier","true","false","","cleaning","cleaning","cleaning","","","","unknown","","unknown","answer-first|visual-may-not-require-uniform-license|action-determines-requirement","answer-first=true|visual-may-not-require-uniform-license=true|action-determines-requirement=true","安衛則第36条","安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-022","action","1","PASS","0","empty-classifier","true","false","","open-panel","open-panel","open-panel","","","","unknown","","unknown","answer-first|voltage-and-energized-state-matter|action-determines-requirement","answer-first=true|voltage-and-energized-state-matter=true|action-determines-requirement=true","安衛則第36条|安衛則第346条","安衛則第36条=true|安衛則第346条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-023","action","1","PASS","0","empty-classifier","true","false","","insulation-measurement","insulation-measurement","insulation-measurement","","","","unknown","","unknown","answer-first|measurement-near-live-parts|de-energized-procedure-matters","answer-first=true|measurement-near-live-parts=true|de-energized-procedure-matters=true","安衛則第339条|安衛則第346条","安衛則第339条=true|安衛則第346条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-024","action","1","PASS","0","empty-classifier","true","false","","repair","repair","repair","","","","unknown","","unknown","answer-first|wiring-may-be-electrical-work|electrician-separate-from-special-education","answer-first=true|wiring-may-be-electrical-work=true|electrician-separate-from-special-education=true","電気工事士法第2条|電気工事士法第3条","電気工事士法第2条=true|電気工事士法第3条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-025","action","1","PASS","0","empty-classifier","true","false","","live-work","live-work","live-work","","","","unknown","energized","energized","answer-first|low-voltage-special-education-scope|voltage-and-energized-state-matter","answer-first=true|low-voltage-special-education-scope=true|voltage-and-energized-state-matter=true","安衛則第341条|安衛則第346条","安衛則第341条=true|安衛則第346条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-026","action","1","PASS","0","empty-classifier","true","false","","live-proximity-work","live-proximity-work","live-proximity-work","","","high","high","proximity","proximity","answer-first|high-voltage-special-education-scope|voltage-and-energized-state-matter","answer-first=true|high-voltage-special-education-scope=true|voltage-and-energized-state-matter=true","安衛則第36条|安衛則第342条","安衛則第36条=true|安衛則第342条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-027","action","1","PASS","0","empty-classifier","true","false","","cleaning","cleaning","cleaning","","","extra-high","extra-high","","unknown","answer-first|high-voltage-special-education-scope|voltage-and-energized-state-matter","answer-first=true|high-voltage-special-education-scope=true|voltage-and-energized-state-matter=true","安衛則第36条|安衛則第344条|安衛則第345条","安衛則第36条=true|安衛則第344条=true|安衛則第345条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-028","action","1","PASS","0","empty-classifier","true","false","","start-of-work-inspection","start-of-work-inspection","start-of-work-inspection","","","","unknown","","unknown","answer-first|start-check-is-not-a-qualification|visual-may-not-require-uniform-license","answer-first=true|start-check-is-not-a-qualification=true|visual-may-not-require-uniform-license=true","安衛則第36条","安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-029","scheme","1","PASS","0","empty-classifier","true","false","","","","unknown","","","","unknown","","unknown","answer-first|electrician-separate-from-special-education|wiring-may-be-electrical-work","answer-first=true|electrician-separate-from-special-education=true|wiring-may-be-electrical-work=true","電気工事士法第2条|電気工事士法第3条|安衛法第59条|安衛則第36条","電気工事士法第2条=true|電気工事士法第3条=true|安衛法第59条=true|安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-030","scheme","1","PASS","0","empty-classifier","true","false","","","","unknown","","","","unknown","","unknown","answer-first|chief-engineer-is-facility-governance|electrician-separate-from-special-education","answer-first=true|chief-engineer-is-facility-governance=true|electrician-separate-from-special-education=true","電気工事士法第3条|電気事業法第43条","電気工事士法第3条=true|電気事業法第43条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-031","scheme","1","PASS","0","electrical-context-fixture","false","true","作業主任者だけでは対象作業を特定できない","","","unknown","","","","unknown","","unknown","answer-first|no-universal-electrical-work-supervisor|work-leader-is-distinct","answer-first=true|no-universal-electrical-work-supervisor=true|work-leader-is-distinct=true","安衛法第14条|安衛令第6条|安衛則第350条","安衛法第14条=true|安衛令第6条=true|安衛則第350条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-032","scheme","1","PASS","0","empty-classifier","true","false","","","","unknown","","","","unknown","","unknown","answer-first|work-leader-is-distinct|no-universal-electrical-work-supervisor","answer-first=true|work-leader-is-distinct=true|no-universal-electrical-work-supervisor=true","安衛則第350条","安衛則第350条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-033","scheme","1","PASS","0","empty-classifier","true","false","","unknown","unknown","unknown","","","","high","","unknown","answer-first|low-voltage-special-education-scope|high-voltage-special-education-scope","answer-first=true|low-voltage-special-education-scope=true|high-voltage-special-education-scope=true","安衛則第36条","安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-034","scheme","1","PASS","0","empty-classifier","true","false","","","","unknown","","","","unknown","","unknown","answer-first|chief-engineer-is-facility-governance|wiring-may-be-electrical-work","answer-first=true|chief-engineer-is-facility-governance=true|wiring-may-be-electrical-work=true","電気事業法第43条|電気工事士法第2条|電気工事士法第3条","電気事業法第43条=true|電気工事士法第2条=true|電気工事士法第3条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-035","scheme","1","PASS","0","empty-classifier","true","false","","wiring-connection","wiring-connection","wiring-connection","","配線工事","","unknown","","unknown","answer-first|electrician-separate-from-special-education|wiring-may-be-electrical-work","answer-first=true|electrician-separate-from-special-education=true|wiring-may-be-electrical-work=true","電気工事士法第2条|電気工事士法第3条|安衛則第36条","電気工事士法第2条=true|電気工事士法第3条=true|安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-036","scheme","1","PASS","0","empty-classifier","true","false","","","","unknown","","","low","low","","unknown","answer-first|electrician-separate-from-special-education|low-voltage-special-education-scope","answer-first=true|electrician-separate-from-special-education=true|low-voltage-special-education-scope=true","安衛則第36条|安衛則第37条|電気工事士法第3条","安衛則第36条=true|安衛則第37条=true|電気工事士法第3条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-037","scheme","1","PASS","0","empty-classifier","true","false","","","","unknown","","","","unknown","","unknown","answer-first|electrician-separate-from-special-education|action-determines-requirement","answer-first=true|electrician-separate-from-special-education=true|action-determines-requirement=true","安衛法第59条|安衛則第36条|電気工事士法第3条","安衛法第59条=true|安衛則第36条=true|電気工事士法第3条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-038","scheme","1","PASS","0","electrical-context-fixture","false","true","始業前点検だけでは対象設備を特定できない","start-of-work-inspection","start-of-work-inspection","start-of-work-inspection","","","","unknown","","unknown","answer-first|start-check-is-not-a-qualification|action-determines-requirement","answer-first=true|start-check-is-not-a-qualification=true|action-determines-requirement=true","安衛則第36条","安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-039","scheme","1","PASS","0","empty-classifier","true","false","","","","unknown","","","","unknown","","unknown","answer-first|no-universal-electrical-work-supervisor|work-leader-is-distinct","answer-first=true|no-universal-electrical-work-supervisor=true|work-leader-is-distinct=true","安衛法第14条|安衛令第6条|安衛則第350条","安衛法第14条=true|安衛令第6条=true|安衛則第350条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-040","scheme","1","PASS","0","empty-classifier","true","false","","high-voltage-facility-inspection","high-voltage-facility-inspection","high-voltage-facility-inspection","","","high","high","","unknown","answer-first|chief-engineer-is-facility-governance|high-voltage-special-education-scope","answer-first=true|chief-engineer-is-facility-governance=true|high-voltage-special-education-scope=true","電気事業法第43条|安衛則第36条|安衛則第341条","電気事業法第43条=true|安衛則第36条=true|安衛則第341条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-041","follow-up","2","PASS","0","empty-classifier","true","false","","visual-inspection","visual-inspection","visual-inspection","","見るだけ","","unknown","","unknown","answer-first|visual-may-not-require-uniform-license","answer-first=true|visual-may-not-require-uniform-license=true","安衛則第36条","安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-042","follow-up","2","PASS","0","empty-classifier","true","false","","start-of-work-inspection","start-of-work-inspection","start-of-work-inspection","","","","unknown","","unknown","answer-first|start-check-is-not-a-qualification|action-determines-requirement","answer-first=true|start-check-is-not-a-qualification=true|action-determines-requirement=true","安衛則第36条","安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-043","follow-up","2","PASS","0","empty-classifier","true","false","","open-panel","open-panel","open-panel","","","","unknown","","unknown","answer-first|voltage-and-energized-state-matter","answer-first=true|voltage-and-energized-state-matter=true","安衛則第36条|安衛則第346条","安衛則第36条=true|安衛則第346条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-044","follow-up","2","PASS","0","empty-classifier","true","false","","","","unknown","","","low","low","","unknown","answer-first|low-voltage-special-education-scope|electrician-separate-from-special-education","answer-first=true|low-voltage-special-education-scope=true|electrician-separate-from-special-education=true","安衛則第36条|電気工事士法第3条","安衛則第36条=true|電気工事士法第3条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-045","follow-up","2","PASS","0","empty-classifier","true","false","","","","unknown","","","high","high","","unknown","answer-first|high-voltage-special-education-scope","answer-first=true|high-voltage-special-education-scope=true","安衛則第36条","安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-046","follow-up","2","PASS","0","empty-classifier","true","false","","tester-measurement","tester-measurement","tester-measurement","","盤を開けて測定","","unknown","energized","energized","answer-first|measurement-near-live-parts|voltage-and-energized-state-matter","answer-first=true|measurement-near-live-parts=true|voltage-and-energized-state-matter=true","安衛則第341条|安衛則第346条","安衛則第341条=true|安衛則第346条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-047","follow-up","2","PASS","0","empty-classifier","true","false","","visual-inspection","unknown","unknown","『配線は触らない』は行為の否定条件であり、盤外目視を選んだという肯定情報ではないため","配線非接触","","unknown","","unknown","answer-first|visual-may-not-require-uniform-license|action-determines-requirement","answer-first=true|visual-may-not-require-uniform-license=true|action-determines-requirement=true","安衛則第36条","安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-048","follow-up","3","PASS","0","empty-classifier","true","false","","tester-measurement","tester-measurement","tester-measurement","","","","unknown","","unknown","answer-first|measurement-near-live-parts|voltage-and-energized-state-matter","answer-first=true|measurement-near-live-parts=true|voltage-and-energized-state-matter=true","安衛則第36条|安衛則第341条|安衛則第346条","安衛則第36条=true|安衛則第341条=true|安衛則第346条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-049","follow-up","2","PASS","0","empty-classifier","true","false","","breaker-operation","breaker-operation","breaker-operation","","","","unknown","","unknown","answer-first|breaker-operation-conditions|low-voltage-special-education-scope","answer-first=true|breaker-operation-conditions=true|low-voltage-special-education-scope=true","安衛則第36条","安衛則第36条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
"electric-chatbot-holdout-2026-08-09","2026-08-09","122fc6dffb7dbd08a6665bf276883f2fefc7f8010730cb7803f25d66faca3554","EL-050","follow-up","2","PASS","0","empty-classifier","true","false","","wiring-connection","wiring-connection","wiring-connection","","","","unknown","de-energized","de-energized","answer-first|wiring-may-be-electrical-work|de-energized-procedure-matters","answer-first=true|wiring-may-be-electrical-work=true|de-energized-procedure-matters=true","電気工事士法第3条|安衛則第339条","電気工事士法第3条=true|安衛則第339条=true","true","true","false","true","true","true","true","true","true","true","false","true","true"
