id,category,query_sha256_16,expected_disposition,actual_disposition,retrieved_references,pass,recall_at_5,reciprocal_rank,ndcg_at_10,exact_article_at_1,citation_supported,cited_references,claim_markers_valid,gold_citation_covered,historical_source_verified,temporal_correct,clarification_correct,clarification_choices_match,clarification_slot_match,actual_clarification_slot,abstention_correct,external_outbound,safety_boundary_correct,external_routes_checked,dangerous_miss,failure_codes
exact-19,exact,5b43748724b65cfc,answer,answer,安衛令第19条|安衛法第19条|安衛令第18条の5|安衛令第18条の3|安衛令第2条|安衛令第18条の4|安衛令第15条の2|安衛令第9条の2|安衛令第15条の3|安衛令第11条,true,1,1,1,true,true,安衛令第19条,true,true,,,,,,,,,,0,false,
exact-20,exact,7552c72e9eba6359,answer,answer,安衛令第20条|安衛法第61条|安衛法第20条|安衛令第18条の5|安衛令第18条の3|安衛令第2条|安衛令第18条の4|安衛令第15条の2|安衛令第9条の2|安衛令第15条の3,true,1,1,1,true,true,安衛令第20条,true,true,,,,,,,,,,0,false,
exact-21,exact,c52f2457e0895c38,answer,answer,安衛則第35条|安衛則第34条の11|安衛則第34条の2の6の7|安衛則第34条の9|安衛則第13条|安衛則第54条|安衛則第61条の2|安衛則第126条|安衛則第138条|安衛則第207条,true,1,1,1,true,true,安衛則第35条,true,true,,,,,,,,,,0,false,
exact-22,exact,41cdf856abe34983,answer,answer,安衛則第36条|安衛則第34条の11|安衛則第34条の2の6の7|安衛則第34条の9|安衛則第13条|安衛則第54条|安衛則第61条の2|安衛則第126条|安衛則第138条|安衛則第207条,true,1,1,1,true,true,安衛則第36条,true,true,,,,,,,,,,0,false,
exact-23,exact,dcc365254ca2163b,answer,answer,安衛則第43条|安衛則第51条の4|安衛則第51条の2|安衛則第25条|安衛則第51条|安衛則第44条の2|安衛則第45条の2|安衛則第13条|安衛則第34条の11|労災保険法第43条,true,1,1,1,true,true,安衛則第43条,true,true,,,,,,,,,,0,false,
exact-24,exact,5090cbf2141dd29c,answer,answer,安衛則第44条|安衛則第44条の2|安衛則第51条の4|安衛則第34条の11|安衛則第34条の2の6の7|安衛則第34条の9|安衛則第51条|安衛則第45条の2|安衛則第52条|安衛則第13条,true,1,1,1,true,true,安衛則第44条,true,true,,,,,,,,,,0,false,
exact-25,exact,f79ba805a4414a92,answer,answer,安衛則第97条|安衛則第97条の2|安衛則第34条の11|安衛則第34条の2の6の7|安衛則第34条の9|安衛則第100条の2|安衛則第13条|安衛則第54条|安衛則第61条の2|安衛則第126条,true,1,1,1,true,true,安衛則第97条,true,true,,,,,,,,,,0,false,
exact-26,exact,f31b2e0b3587cd48,answer,answer,安衛則第518条|安衛則第34条の11|安衛則第34条の2の6の7|安衛則第34条の9|安衛則第13条|安衛則第54条|安衛則第61条の2|安衛則第126条|安衛則第138条|安衛則第207条,true,1,1,1,true,true,安衛則第518条,true,true,,,,,,,,,,0,false,
exact-27,exact,35837127ee3f9f00,answer,answer,安衛則第519条|安衛則第34条の11|安衛則第34条の2の6の7|安衛則第34条の9|安衛則第13条|安衛則第54条|安衛則第61条の2|安衛則第126条|安衛則第138条|安衛則第207条,true,1,1,1,true,true,安衛則第519条,true,true,,,,,,,,,,0,false,
exact-28,exact,84691e9394c5ba9c,answer,answer,安衛則第521条|安衛則第34条の11|安衛則第34条の2の6の7|安衛則第34条の9|安衛則第13条|安衛則第54条|安衛則第61条の2|安衛則第126条|安衛則第138条|安衛則第207条,true,1,1,1,true,true,安衛則第521条,true,true,,,,,,,,,,0,false,
exact-29,exact,101ea08c4c0f02c5,answer,answer,安衛則第563条|安衛則第552条|安衛則第34条の11|安衛則第34条の2の6の7|安衛則第34条の9|安衛則第655条|安衛則第13条|安衛則第54条|安衛則第61条の2|安衛則第126条,true,1,1,1,true,true,安衛則第563条,true,true,,,,,,,,,,0,false,
exact-30,exact,e90fe6b712392878,answer,answer,安衛則第567条|安衛則第34条の11|安衛則第34条の2の6の7|安衛則第34条の9|安衛則第13条|安衛則第54条|安衛則第61条の2|安衛則第126条|安衛則第138条|安衛則第207条,true,1,1,1,true,true,安衛則第567条,true,true,,,,,,,,,,0,false,
exact-31,exact,fb42046c7e54aef0,answer,answer,安衛則第612条の2|安衛則第612条|安衛則第34条の11|安衛則第34条の2の6の7|安衛則第34条の9|安衛則第13条|安衛則第54条|安衛則第61条の2|安衛則第126条|安衛則第138条,true,1,1,1,true,true,安衛則第612条の2,true,true,,,,,,,,,,0,false,
exact-32,exact,735796efd9a20f17,answer,answer,石綿則第3条|石綿則第36条|石綿則第48条の2|石綿則第48条の4|石綿則第19条|石綿則第30条|石綿則第42条の2|石綿則第43条|石綿則第26条|石綿則第45条,true,1,1,1,true,true,石綿則第3条,true,true,,,,,,,,,,0,false,
exact-33,exact,28e752f5ede60fbe,answer,answer,有機則第29条|有機則第25条|有機則第30条の2の2|有機則第30条の4|有機則第4条|有機則第16条の2|有機則第28条の3の3|有機則第23条|有機則第33条の2|有機則第36条,true,1,1,1,true,true,有機則第29条,true,true,,,,,,,,,,0,false,
exact-34,exact,1a06f54c06833fd2,answer,answer,特化則第39条|特化則第48条|特化則第38条の8|特化則第36条の5|特化則第38条の6|特化則第38条の11|特化則第36条の3の3|特化則第6条|特化則第26条|特化則第40条の3,true,1,1,1,true,true,特化則第39条,true,true,,,,,,,,,,0,false,
exact-35,exact,5cc559534a5e6384,answer,answer,酸欠則第2条|酸欠則第1条|酸欠則第28条|酸欠則第10条|酸欠則第4条|酸欠則第29条|酸欠則第8条|酸欠則第15条|酸欠則第27条|酸欠則第17条,true,1,1,1,true,true,酸欠則第2条,true,true,,,,,,,,,,0,false,
exact-36,exact,1c4d170c38a5edf7,answer,answer,粉じん則第26条|粉じん則第26条の3の3|粉じん則第26条の2|粉じん則第26条の4|粉じん則第26条の3|粉じん則第26条の3の2|粉じん則第22条|粉じん則第9条|粉じん則第27条|粉じん則第14条,true,1,1,1,true,true,粉じん則第26条,true,true,,,,,,,,,,0,false,
exact-37,exact,8c22bceb41007d60,answer,answer,鉛則第52条の2|鉛則第52条|鉛則第52条の3の3|鉛則第30条の2|鉛則第33条|鉛則第54条の3|鉛則第55条|鉛則第14条|鉛則第19条|鉛則第31条,true,1,1,1,true,true,鉛則第52条の2,true,true,,,,,,,,,,0,false,
exact-38,exact,d58b6c573888b5b7,answer,answer,電離則第56条|電離則第56条の3|電離則第56条の2|電離則第3条|電離則第52条の4の2|電離則第52条の4の5|電離則第52条の2|電離則第52条の4の4|電離則第2条|電離則第1条,true,1,1,1,true,true,電離則第56条,true,true,,,,,,,,,,0,false,
exact-39,exact,35f70bb365392844,answer,answer,クレーン則第221条|クレーン則第247条|クレーン則第244条|クレーン則第245条|クレーン則第246条|クレーン則第233条|クレーン則第227条|クレーン則第68条|クレーン則第22条|クレーン則第144条,true,1,1,1,true,true,クレーン則第221条,true,true,,,,,,,,,,0,false,
exact-40,exact,bd68802d91b43974,answer,answer,ボイラー則第24条|ボイラー則第62条|ボイラー則第67条|ボイラー則第123条|ボイラー則第63条|ボイラー則第60条|ボイラー則第69条|ボイラー則第56条の2|ボイラー則第78条|ボイラー則第83条,true,1,1,1,true,true,ボイラー則第24条,true,true,,,,,,,,,,0,false,
colloquial-01,colloquial,6c4b4c1c49544b42,answer,answer,安衛則第563条|安衛則第552条|安衛則第518条|安衛則第519条|安衛則第520条|安衛則第521条|安衛則第574条|安衛則第655条,true,1,1,1,true,true,安衛則第563条|安衛則第552条,true,true,,,,,,,,,,0,false,
colloquial-02,colloquial,f266e7622df57ac9,answer,answer,安衛則第563条|安衛則第552条|安衛則第518条|安衛則第519条|安衛則第520条|安衛則第521条|安衛則第574条|安衛則第655条,true,1,1,1,true,true,安衛則第563条|安衛則第552条,true,true,,,,,,,,,,0,false,
colloquial-03,colloquial,10b35e282341c24e,answer,answer,安衛則第563条|安衛則第552条|安衛則第574条|安衛則第561条の2|安衛則第570条|安衛則第571条|安衛則第655条|安衛則第564条|安衛則第565条|安衛則第560条,true,1,1,1,true,true,安衛則第563条|安衛則第552条,true,true,,,,,,,,,,0,false,
colloquial-04,colloquial,c1dc40db6b720573,answer,answer,安衛則第36条|安衛法第59条|ゴンドラ則第12条|特別教育規程第5条|特別教育規程第6条|安衛則第39条|安衛則第37条|安衛則第38条|安衛則第592条の7|クレーン則第21条,true,1,1,1,true,true,安衛法第59条|安衛則第36条,true,true,,,,,,,,,,0,false,
colloquial-05,colloquial,118b1dced3f4d316,answer,answer,安衛則第36条|安衛法第59条|特別教育規程第5条|特別教育規程第6条|安衛則第37条|ゴンドラ則第12条|安衛則第38条|安衛則第39条|安衛則第592条の7|電離則第52条の9,true,1,1,1,true,true,安衛法第59条|安衛則第36条,true,true,,,,,,,,,,0,false,
colloquial-06,colloquial,86643a95ebc44a9e,answer,answer,安衛則第36条|安衛法第59条|労基法第36条|安衛則第38条|安衛則第37条|特別教育規程第6条|安衛則第194条の22|特別教育規程第5条|安衛則第52条の15|安衛則第39条,true,1,1,1,true,true,安衛則第36条,true,true,,,,,,,,,,0,false,
colloquial-07,colloquial,94290b21e14562c3,answer,answer,安衛法第59条|安衛則第36条|安衛法第61条|安衛令第20条|安衛則第41条|特別教育規程第6条|酸欠則第11条|安衛則第79条|安衛則第82条|安衛法第76条,true,1,0.3333333333333333,0.5706417189553201,false,true,安衛法第59条|安衛則第36条|安衛法第61条|安衛令第20条,true,true,,,,,,,,,,0,false,
colloquial-08,colloquial,15f15598c8231356,answer,answer,安衛法第61条|安衛令第20条|安衛則第41条|安衛則第36条|特別教育規程第6条|特別教育規程第5条|安衛則第151条の21|安衛法第76条の2|安衛法第76条|安衛則第82条,true,1,1,1,true,true,安衛法第61条|安衛令第20条,true,true,,,,,,,,,,0,false,
colloquial-09,colloquial,71f404e8117fe163,answer,answer,安衛法第59条|安衛則第36条|安衛法第61条|安衛令第20条|安衛則第41条|安衛則第66条の3|安衛則第66条の2|安衛法第76条の2|安衛法第76条|安衛法第112条,true,1,0.3333333333333333,0.5706417189553201,false,true,安衛法第59条|安衛則第36条|安衛法第61条|安衛令第20条,true,true,,,,,,,,,,0,false,
colloquial-10,colloquial,f300a63a08a050e5,answer,answer,クレーン則第221条|安衛令第20条|クレーン則第222条|クレーン則第246条|特別教育規程第6条|特別教育規程第5条|クレーン則第247条|安衛法第76条の2|安衛法第76条|安衛則第82条,true,1,1,1,true,true,安衛令第10条|安衛令第20条|クレーン則第221条|クレーン則第222条,true,true,,,,,,,,,,0,false,
colloquial-11,colloquial,effbb18c9597b7ce,answer,answer,クレーン則第221条|安衛令第20条|安衛法第61条|安衛則第41条|クレーン則第222条|特別教育規程第6条|特別教育規程第5条|酸欠則第11条|安衛法第76条の2|安衛法第76条,true,1,1,1,true,true,安衛令第10条|安衛令第20条|クレーン則第221条,true,true,,,,,,,,,,0,false,
colloquial-12,colloquial,85b87dadf16de3ec,answer,answer,クレーン則第221条|安衛令第20条|クレーン則第222条|クレーン則第246条|クレーン則第247条|クレーン則第233条|クレーン則第227条|クレーン則第70条の2|クレーン則第244条|クレーン則第245条,true,1,1,1,true,true,安衛令第10条|安衛令第20条|クレーン則第221条,true,true,,,,,,,,,,0,false,
colloquial-13,colloquial,a86a57a16933ac53,answer,answer,安衛則第36条|安衛法第59条|安衛令第10条|安衛法第61条|安衛令第20条|安衛則第518条|安衛則第519条|安衛則第520条|安衛則第521条|安衛則第194条の22,true,1,1,1,true,true,安衛則第36条|安衛法第61条|安衛令第20条|安衛令第10条,true,true,,,,,,,,,,0,false,
colloquial-14,colloquial,b55d4de162034c11,answer,answer,安衛令第10条|安衛則第36条|安衛法第59条|安衛法第61条|安衛令第20条|特別教育規程第6条|特別教育規程第5条|安衛則第37条|安衛則第38条|安衛則第39条,true,1,0.5,0.6309297535714575,false,true,安衛法第59条|安衛則第36条|安衛令第10条,true,true,,,,,,,,,,0,false,
colloquial-15,colloquial,4cec1cca44711605,answer,answer,安衛令第10条|安衛則第36条|安衛法第59条|安衛法第61条|安衛令第20条|安衛則第194条の14|安衛則第194条の22|安衛則第38条|安衛則第37条|安衛則第194条の13,true,1,0.5,0.6309297535714575,false,true,安衛則第36条|安衛法第61条|安衛令第20条|安衛令第10条,true,true,,,,,,,,,,0,false,
colloquial-16,colloquial,6a3cc0544d5020ab,answer,answer,酸欠則第5条|酸欠則第5条の2|安衛則第601条|酸欠則第9条|酸欠則第2条|酸欠則第11条|安衛則第640条|安衛則第643条の4|酸欠則第27条|酸欠則第12条,true,1,1,1,true,true,酸欠則第5条,true,true,,,,,,,,,,0,false,
colloquial-17,colloquial,55e98db4db67b2a1,answer,answer,酸欠則第5条|酸欠則第5条の2|酸欠則第12条|酸欠則第27条|酸欠則第9条|酸欠則第26条|酸欠則第6条|酸欠則第28条|酸欠則第11条|酸欠則第23条の2,true,1,1,1,true,true,酸欠則第5条,true,true,,,,,,,,,,0,false,
colloquial-18,colloquial,8db4af17c347e10d,answer,answer,酸欠則第5条|酸欠則第5条の2|酸欠則第2条|酸欠則第9条|酸欠則第27条|酸欠則第26条|酸欠則第11条|酸欠則第12条|酸欠則第24条|酸欠則第25条,true,1,1,1,true,true,酸欠則第3条|酸欠則第5条|酸欠則第5条の2|酸欠則第11条|酸欠則第12条|酸欠則第13条|有機則第5条|有機則第19条,true,true,,,,,,,,,,0,false,
colloquial-19,colloquial,c93f4a7722eec1dd,answer,answer,有機則第29条|有機則第30条|有機則第25条|有機則第35条|有機則第19条の2|有機則第11条|有機則第8条|有機則第14条|有機則第9条|有機則第7条,true,1,1,1,true,true,有機則第29条,true,true,,,,,,,,,,0,false,
colloquial-20,colloquial,22f3493bdbf052c7,answer,answer,有機則第29条|安衛法第66条|安衛法第66条の8|安衛法第66条の10|有機則第30条|有機則第30条の3|有機則第31条|有機則第30条の2|有機則第25条|有機則第30条の2の2,true,1,1,1,true,true,有機則第29条,true,true,,,,,,,,,,0,false,
colloquial-21,colloquial,59ba69d3de81abc9,answer,answer,有機則第29条|安衛法第66条|安衛法第66条の8|安衛法第66条の10|有機則第30条|有機則第25条|有機則第8条|有機則第9条|有機則第6条|有機則第5条,true,1,1,1,true,true,有機則第29条|有機則第8条|有機則第9条|有機則第6条|有機則第5条,true,true,,,,,,,,,,0,false,
colloquial-22,colloquial,f3d9dd4b46eb8d5f,answer,answer,石綿則第3条|石綿則第6条の2|石綿則第4条の2|石綿則第6条|石綿則第13条|石綿則第48条|石綿則第40条|石綿則第27条|石綿則第35条の2|石綿則第7条,true,1,1,1,true,true,石綿則第3条,true,true,,,,,,,,,,0,false,
colloquial-23,colloquial,36072adcad175d2f,answer,answer,石綿則第3条|石綿則第6条の2|石綿則第46条の2|石綿則第49条|石綿則第48条|石綿則第13条|石綿則第36条|石綿則第6条|石綿則第6条の3|石綿則第46条の3,true,1,1,1,true,true,石綿則第3条,true,true,,,,,,,,,,0,false,
colloquial-24,colloquial,2a7ebdd9ab2601d5,answer,answer,石綿則第3条,true,1,1,1,true,true,石綿則第3条,true,true,,,,,,,,,,0,false,
colloquial-25,colloquial,f0f5f2feb10c9870,answer,answer,安衛則第612条の2|安衛則第663条の2|労基法第105条|安衛則第668条|安衛則第662条の9|安衛則第663条|安衛法第102条|電気工事士法第5条|労基法第89条|労基法第105条の2,true,1,1,1,true,true,安衛則第612条の2|熱中症ガイドライン第2・第3,true,true,,,,,,,,,,0,false,
colloquial-26,colloquial,0e9de82d294900f3,answer,answer,安衛則第612条の2,true,1,1,1,true,true,安衛則第612条の2|熱中症ガイドライン第2・第3,true,true,,,,,,,,,,0,false,
colloquial-27,colloquial,c77d25e8fd893255,answer,answer,安衛則第612条の2,true,1,1,1,true,true,安衛則第612条の2,true,true,,,,,,,,,,0,false,
colloquial-28,colloquial,f6432209b694aca4,answer,answer,安衛則第519条|安衛則第518条|安衛則第520条|安衛則第521条|特化則第22条の2|安衛則第142条|安衛則第130条の5,true,1,1,1,true,true,安衛則第519条,true,true,,,,,,,,,,0,false,
colloquial-29,colloquial,fe3dcd208065d087,answer,answer,安衛則第519条|安衛則第518条|安衛則第520条|安衛則第521条|安衛則第563条|安衛則第142条|安衛則第130条の5|安衛則第302条|安衛則第601条|安衛則第303条,true,1,1,1,true,true,安衛則第519条,true,true,,,,,,,,,,0,false,
colloquial-30,colloquial,08a277c277d0571b,answer,answer,安衛則第519条|安衛則第518条|安衛則第520条|安衛則第521条|安衛則第142条|安衛則第130条の5|安衛則第679条|安衛則第144条|安衛則第353条|安衛則第329条,true,1,1,1,true,true,安衛則第519条,true,true,,,,,,,,,,0,false,
colloquial-31,colloquial,2d8e89b720e777c2,answer,answer,安衛則第567条|安衛則第566条|安衛則第518条|安衛則第519条|安衛則第520条|安衛則第521条|安衛則第563条|安衛則第552条|安衛則第574条|安衛則第655条,true,1,1,1,true,true,安衛則第567条,true,true,,,,,,,,,,0,false,
colloquial-32,colloquial,4dfa00402c5cac8f,answer,answer,安衛則第567条|安衛則第566条|安衛則第518条|安衛則第519条|安衛則第520条|安衛則第521条|安衛則第563条|安衛則第552条|安衛則第574条|安衛則第655条,true,1,1,1,true,true,安衛則第567条,true,true,,,,,,,,,,0,false,
colloquial-33,colloquial,2cb506be241178ca,answer,answer,安衛則第567条|安衛則第566条|安衛則第655条|安衛則第568条|安衛則第574条|安衛則第561条の2|安衛則第570条|特化則第34条の2|石綿則第25条|粉じん則第20条,true,1,1,1,true,true,安衛則第567条,true,true,,,,,,,,,,0,false,
colloquial-34,colloquial,944cce03788ad5e1,answer,answer,安衛則第44条|安衛法第66条|安衛法第66条の8|安衛法第66条の10|安衛法第66条の8の3|安衛法第66条の3|安衛法第66条の6|安衛法第66条の9|安衛法第66条の7|安衛法第66条の4,true,1,1,1,true,true,安衛則第44条,true,true,,,,,,,,,,0,false,
colloquial-35,colloquial,3980abe17061001a,answer,answer,安衛則第44条|安衛法第66条|安衛法第66条の8|安衛法第66条の10,true,1,1,1,true,true,安衛則第44条,true,true,,,,,,,,,,0,false,
colloquial-36,colloquial,05a5796e8ba7d7fc,answer,answer,安衛則第44条|安衛法第66条|安衛法第66条の8|安衛法第66条の10|安衛則第45条|安衛則第45条の2|安衛則第44条の2|安衛則第51条の4|安衛則第51条|安衛則第52条,true,1,1,1,true,true,安衛則第44条,true,true,,,,,,,,,,0,false,
colloquial-37,colloquial,6907261ff364b0be,answer,answer,安衛法第57条の2|クレーン則第57条の2|ボイラー則第57条の2|安衛法第57条|安衛法第30条の2|安衛法第30条の3|安衛法第15条の3|安衛法第85条の3|安衛法第83条の3|安衛法第96条,true,1,1,1,true,true,安衛法第57条の2,true,true,,,,,,,,,,0,false,
colloquial-38,colloquial,da2d87153ecf87ed,answer,answer,安衛法第57条の2|クレーン則第57条の2|ボイラー則第57条の2|安衛法第39条|電離則第57条の2|安衛法第67条|安衛法第57条|安衛法第44条の2|安衛法第76条の2|安衛法第115条の5,true,1,1,1,true,true,安衛法第57条の2,true,true,,,,,,,,,,0,false,
colloquial-39,colloquial,6a3d6f859a7506fb,answer,answer,安衛法第57条の2|クレーン則第57条の2|ボイラー則第57条の2|電離則第57条の2|安衛法第57条|安衛法第115条の5|安衛法第115条の2|安衛法第75条の9|安衛法第75条の10,true,1,1,1,true,true,安衛法第57条の2,true,true,,,,,,,,,,0,false,
colloquial-40,colloquial,2237ca74f53dd64d,answer,answer,安衛法第57条の3|安衛法第57条の4|安衛法第57条の5|安衛法第102条|安衛則第12条の5|安衛法第28条|安衛法第86条|安衛法第75条の8|安衛法第47条|安衛法第28条の2,true,1,1,1,true,true,安衛法第57条の3,true,true,,,,,,,,,,0,false,
colloquial-41,colloquial,6d979f298f8edf2a,answer,answer,安衛法第57条の3|安衛法第66条の10|安衛法第66条の5|安衛法第57条の2|安衛法第66条の8|安衛法第93条|安衛法第96条の2|安衛法第99条|安衛法第100条|安衛法第98条,true,1,1,1,true,true,安衛法第57条の3,true,true,,,,,,,,,,0,false,
colloquial-42,colloquial,8062962c07a22a47,answer,answer,安衛法第57条の3|安衛則第34条の4|安衛則第34条の5|安衛則第34条の18|特化則第27条|安衛則第34条の8|安衛則第34条の14|安衛法第57条の4|安衛則第24条の14|特化則第28条,true,1,1,1,true,true,安衛法第57条の3,true,true,,,,,,,,,,0,false,
colloquial-43,colloquial,51cf996553d204a9,answer,answer,安衛則第12条の5|安衛法第57条の3|安衛則第12条の6|安衛則第307条|労災保険法第12条の5|電離則第57条の3,true,1,1,1,true,true,安衛則第12条の5,true,true,,,,,,,,,,0,false,
colloquial-44,colloquial,eb8424c98859e35f,answer,answer,安衛則第12条の5|安衛法第57条の3|安衛則第12条の6|安衛則第389条の4|労災保険法第12条の5,true,1,1,1,true,true,安衛則第12条の5,true,true,,,,,,,,,,0,false,
colloquial-45,colloquial,54481d5c0409f70c,answer,answer,安衛則第12条の5|安衛法第57条の3|安衛則第24条の14|安衛則第34条の5|安衛則第34条の4|安衛則第34条の18|安衛則第12条の6|安衛則第34条の8|安衛則第34条の14|安衛則第34条の10,true,1,1,1,true,true,安衛則第12条の5,true,true,,,,,,,,,,0,false,
colloquial-46,colloquial,8724b84feb2769de,answer,answer,安衛則第97条|安衛則第97条の2|安衛則第130条の7|安衛則第130条の4|安衛則第143条|安衛則第139条,true,1,1,1,true,true,安衛則第97条,true,true,,,,,,,,,,0,false,
colloquial-47,colloquial,cbb91240f219fe01,answer,answer,安衛則第97条|労災保険法第7条|労災保険法第14条|労災保険法第14条の2|労災保険法第35条|労災保険法第34条|労災保険法第12条の8|労災保険法第20条の4|労災保険法第31条|労災保険法第20条,true,1,1,1,true,true,安衛則第97条,true,true,,,,,,,,,,0,false,
colloquial-48,colloquial,94706363b2ebb43b,answer,answer,安衛則第97条|安衛則第97条の2|安衛則第96条,true,1,1,1,true,true,安衛則第97条,true,true,,,,,,,,,,0,false,
